OrganisationLabel,OrganisationURI,PublishedDate,LatestData,DurationFrom,DurationTo,ReportingPeriodType,Month,GeoEntityName,GeoCode,GeoName,GeoURI,AveragePrice,AveragePriceDetached,AveragePriceSemiDetached,AveragePriceTerraced,AveragePriceFlatOrMaisonette,
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2023-09-19T00:00:00,,2023-02-01T00:00:00,2023-02-28T23:59:59,Month,2023-02,County,E10000019,Lincolnshire,http://statistics.data.gov.uk/doc/statistical-geography/E10000019,236753,316062,210265,166781,113280,
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2023-09-19T00:00:00,,2023-02-01T00:00:00,2023-02-28T23:59:59,Month,2023-02,District Council,E07000136,Boston,http://statistics.data.gov.uk/doc/statistical-geography/E07000136,196372,271366,169375,134616,93205,
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2023-09-19T00:00:00,,2023-02-01T00:00:00,2023-02-28T23:59:59,Month,2023-02,District Council,E07000137,East Lindsey,http://statistics.data.gov.uk/doc/statistical-geography/E07000137,236982,295504,202020,158637,106960,
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2023-09-19T00:00:00,,2023-02-01T00:00:00,2023-02-28T23:59:59,Month,2023-02,District Council,E07000138,Lincoln,http://statistics.data.gov.uk/doc/statistical-geography/E07000138,185539,300873,203190,154987,114127,
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2023-09-19T00:00:00,,2023-02-01T00:00:00,2023-02-28T23:59:59,Month,2023-02,District Council,E07000139,North Kesteven,http://statistics.data.gov.uk/doc/statistical-geography/E07000139,266969,326207,221056,180015,114547,
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2023-09-19T00:00:00,,2023-02-01T00:00:00,2023-02-28T23:59:59,Month,2023-02,District Council,E07000140,South Holland,http://statistics.data.gov.uk/doc/statistical-geography/E07000140,242898,302710,207301,166462,97181,
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2023-09-19T00:00:00,,2023-02-01T00:00:00,2023-02-28T23:59:59,Month,2023-02,District Council,E07000141,South Kesteven,http://statistics.data.gov.uk/doc/statistical-geography/E07000141,277048,393684,252506,201759,127247,
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2023-09-19T00:00:00,,2023-02-01T00:00:00,2023-02-28T23:59:59,Month,2023-02,District Council,E07000142,West Lindsey,http://statistics.data.gov.uk/doc/statistical-geography/E07000142,215882,286793,184613,148301,105340,
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2023-09-19T00:00:00,,2023-01-01T00:00:00,2023-01-31T23:59:59,Month,2023-01,County,E10000019,Lincolnshire,http://statistics.data.gov.uk/doc/statistical-geography/E10000019,238449,318519,211781,167949,113748,
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2023-09-19T00:00:00,,2023-01-01T00:00:00,2023-01-31T23:59:59,Month,2023-01,District Council,E07000136,Boston,http://statistics.data.gov.uk/doc/statistical-geography/E07000136,198692,274295,171553,136485,94466,
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2023-09-19T00:00:00,,2023-01-01T00:00:00,2023-01-31T23:59:59,Month,2023-01,District Council,E07000137,East Lindsey,http://statistics.data.gov.uk/doc/statistical-geography/E07000137,239946,299055,204559,160933,108448,
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2023-09-19T00:00:00,,2023-01-01T00:00:00,2023-01-31T23:59:59,Month,2023-01,District Council,E07000138,Lincoln,http://statistics.data.gov.uk/doc/statistical-geography/E07000138,183820,297288,201325,153889,112885,
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2023-09-19T00:00:00,,2023-01-01T00:00:00,2023-01-31T23:59:59,Month,2023-01,District Council,E07000139,North Kesteven,http://statistics.data.gov.uk/doc/statistical-geography/E07000139,272963,333198,226269,184386,117152,
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2023-09-19T00:00:00,,2023-01-01T00:00:00,2023-01-31T23:59:59,Month,2023-01,District Council,E07000140,South Holland,http://statistics.data.gov.uk/doc/statistical-geography/E07000140,242557,302108,207017,166547,97437,
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2023-09-19T00:00:00,,2023-01-01T00:00:00,2023-01-31T23:59:59,Month,2023-01,District Council,E07000141,South Kesteven,http://statistics.data.gov.uk/doc/statistical-geography/E07000141,275332,390637,251082,200946,126685,
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2023-09-19T00:00:00,,2023-01-01T00:00:00,2023-01-31T23:59:59,Month,2023-01,District Council,E07000142,West Lindsey,http://statistics.data.gov.uk/doc/statistical-geography/E07000142,219546,291356,187753,151151,107278,
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2023-09-19T00:00:00,,2022-12-01T00:00:00,2022-12-31T23:59:59,Month,2022-12,County,E10000019,Lincolnshire,http://statistics.data.gov.uk/doc/statistical-geography/E10000019,239508,319218,212760,169576,114880,
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2023-09-19T00:00:00,,2022-12-01T00:00:00,2022-12-31T23:59:59,Month,2022-12,District Council,E07000136,Boston,http://statistics.data.gov.uk/doc/statistical-geography/E07000136,195421,269469,168713,134737,93220,
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2023-09-19T00:00:00,,2022-12-01T00:00:00,2022-12-31T23:59:59,Month,2022-12,District Council,E07000137,East Lindsey,http://statistics.data.gov.uk/doc/statistical-geography/E07000137,239300,298030,203988,160939,108458,
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2023-09-19T00:00:00,,2022-12-01T00:00:00,2022-12-31T23:59:59,Month,2022-12,District Council,E07000138,Lincoln,http://statistics.data.gov.uk/doc/statistical-geography/E07000138,188856,305241,206553,158347,116005,
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2023-09-19T00:00:00,,2022-12-01T00:00:00,2022-12-31T23:59:59,Month,2022-12,District Council,E07000139,North Kesteven,http://statistics.data.gov.uk/doc/statistical-geography/E07000139,273301,333591,226345,184950,117655,
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2023-09-19T00:00:00,,2022-12-01T00:00:00,2022-12-31T23:59:59,Month,2022-12,District Council,E07000140,South Holland,http://statistics.data.gov.uk/doc/statistical-geography/E07000140,245237,305385,209192,168642,98863,
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2023-09-19T00:00:00,,2022-12-01T00:00:00,2022-12-31T23:59:59,Month,2022-12,District Council,E07000141,South Kesteven,http://statistics.data.gov.uk/doc/statistical-geography/E07000141,276990,392637,252465,202520,127929,
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2023-09-19T00:00:00,,2022-12-01T00:00:00,2022-12-31T23:59:59,Month,2022-12,District Council,E07000142,West Lindsey,http://statistics.data.gov.uk/doc/statistical-geography/E07000142,220396,292193,188376,152186,107934,
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2023-09-19T00:00:00,,2022-11-01T00:00:00,2022-11-30T23:59:59,Month,2022-11,County,E10000019,Lincolnshire,http://statistics.data.gov.uk/doc/statistical-geography/E10000019,239332,319495,212415,169053,114093,
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2023-09-19T00:00:00,,2022-11-01T00:00:00,2022-11-30T23:59:59,Month,2022-11,District Council,E07000136,Boston,http://statistics.data.gov.uk/doc/statistical-geography/E07000136,198370,273792,171008,136687,94346,
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2023-09-19T00:00:00,,2022-11-01T00:00:00,2022-11-30T23:59:59,Month,2022-11,District Council,E07000137,East Lindsey,http://statistics.data.gov.uk/doc/statistical-geography/E07000137,235568,293592,200568,158352,106431,
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2023-09-19T00:00:00,,2022-11-01T00:00:00,2022-11-30T23:59:59,Month,2022-11,District Council,E07000138,Lincoln,http://statistics.data.gov.uk/doc/statistical-geography/E07000138,187093,302722,204493,156896,114702,
